t_s,x,y,cross_track_mm,linear_speed_mps,angular_cmd_rps,path_yaw,target_yaw,yaw_error_rad,lqr_mode,k1,k2,e_y_raw_mm,e_y_rate_limited_mm,e_y_filtered_mm,e_theta_rad,omega_ff,omega_fb,omega_i,omega_before_limits,nearest_idx,lookahead_idx
0.278123,0.448965,2.146056,1.949525,0.050000,-0.002394,-3.055732,-3.066508,-0.004431,1.000000,4.800000,0.950000,1.949525,1.949525,1.754572,-0.006346,0.000000,-0.002394,0.000000,-0.002394,1,62
0.333750,0.448932,2.145965,2.037647,0.050000,-0.002394,-3.055732,-3.066814,-0.004728,1.000000,4.800000,0.950000,2.037647,2.037647,2.009339,-0.006354,0.000000,-0.003609,0.000000,-0.002394,1,62
0.389254,0.448927,2.145968,2.034474,0.050000,-0.003129,-3.055732,-3.066797,-0.004705,1.000000,4.800000,0.950000,2.034474,2.034474,2.031961,-0.006360,0.000000,-0.003712,0.000000,-0.003129,1,62
0.444895,0.448944,2.145995,2.009380,0.050000,-0.003633,-3.055732,-3.066659,-0.004491,1.000000,4.800000,0.950000,2.009380,2.009380,2.011638,-0.006436,0.000000,-0.003542,0.000000,-0.003633,1,62
0.500292,0.448924,2.145945,2.056830,0.050000,-0.003680,-3.055732,-3.066919,-0.004501,1.000000,4.800000,0.950000,2.056830,2.056830,2.052311,-0.006686,0.000000,-0.003499,0.000000,-0.003680,1,62
0.556013,0.448948,2.145907,2.096762,0.050000,-0.003581,-3.055732,-3.067135,-0.004307,1.000000,4.800000,0.950000,2.096762,2.096762,2.092317,-0.007096,0.000000,-0.003302,0.000000,-0.003581,1,62
0.611641,0.449586,2.145941,2.118015,0.050000,-0.003391,-3.055732,-3.067210,-0.003319,1.000000,4.800000,0.950000,2.118015,2.118015,2.115445,-0.008160,0.000000,-0.002402,0.000000,-0.003391,0,61
0.666916,0.446738,2.146063,1.752231,0.050000,-0.002757,-3.055732,-3.065376,0.005985,1.000000,4.800000,0.950000,1.752231,1.752231,1.788553,-0.015629,0.000000,0.006263,0.000000,-0.002757,1,62
0.722664,0.441646,2.146264,1.114925,0.050000,0.002823,-3.055732,-3.061837,0.011123,1.000000,4.800000,0.950000,1.114925,1.114925,1.182288,-0.017227,0.000000,0.010691,0.000000,0.002823,3,64
0.778117,0.436971,2.146115,0.862480,0.050000,0.008724,-3.055732,-3.060420,0.017326,1.000000,4.800000,0.950000,0.862480,0.862480,0.894461,-0.022014,0.000000,0.016620,0.000000,0.008724,5,66
0.833687,0.435775,2.145826,1.048400,0.050000,0.014707,-3.055732,-3.061469,0.018404,1.000000,4.800000,0.950000,1.048400,1.048400,1.033006,-0.024141,0.000000,0.017975,0.000000,0.014707,5,66
0.889260,0.432764,2.145539,1.075686,0.050000,0.017911,-3.055732,-3.061619,0.018119,1.000000,4.800000,0.950000,1.075686,1.075686,1.071418,-0.024007,0.000000,0.017663,0.000000,0.017911,6,67
0.944846,0.428509,2.145481,0.768771,0.050000,0.018418,-3.055732,-3.059899,0.019356,1.000000,4.800000,0.950000,0.768771,0.768771,0.799035,-0.023524,0.000000,0.018512,0.000000,0.018418,8,69
1.000427,0.424304,2.145451,0.437514,0.050000,0.018579,-3.055732,-3.058119,0.019462,1.000000,4.800000,0.950000,0.437514,0.437514,0.473666,-0.021849,0.000000,0.018483,0.000000,0.018579,9,70
1.056003,0.421529,2.145463,0.187741,0.050000,0.018554,-3.055732,-3.056755,0.020016,1.000000,4.800000,0.950000,0.187741,0.187741,0.216334,-0.021039,0.000000,0.018949,0.000000,0.018554,10,71
1.111466,0.419196,2.145453,-0.002564,0.050000,0.018787,-3.055732,-3.055718,0.022819,1.000000,4.800000,0.950000,-0.002564,-0.002564,0.019325,-0.022805,0.000000,0.021572,0.000000,0.018787,11,72
1.167098,0.417620,2.145534,-0.218271,0.050000,0.020000,-3.055732,-3.054537,0.026663,1.000000,4.800000,0.950000,-0.218271,-0.218271,-0.194512,-0.025468,0.000000,0.025129,0.000000,0.020520,11,72
1.222743,0.416352,2.145047,0.158615,0.050000,0.020000,-3.055732,-3.056592,0.025097,1.000000,4.800000,0.950000,0.158615,0.158615,0.123302,-0.025958,0.000000,0.024068,0.000000,0.023671,12,73
1.278274,0.414373,2.144144,0.888474,0.050000,0.020000,-3.055732,-3.060606,0.019987,1.000000,4.800000,0.950000,0.888474,0.888474,0.811957,-0.024861,0.000000,0.019721,0.000000,0.024555,12,73
1.333684,0.411850,2.143241,1.572162,0.050000,0.012279,-3.055732,-3.064338,0.011879,1.000000,4.800000,0.950000,1.572162,1.572162,1.496142,-0.020484,0.000000,0.012279,0.000000,0.012279,13,74
