t_s,x,y,cross_track_mm,linear_speed_mps,angular_cmd_rps,path_yaw,target_yaw,yaw_error_rad,lqr_mode,k1,k2,e_y_raw_mm,e_y_rate_limited_mm,e_y_filtered_mm,e_theta_rad,omega_ff,omega_fb,omega_i,omega_before_limits,nearest_idx,lookahead_idx
0.278018,-0.605931,1.177912,-1.416980,0.050000,0.013303,0.871259,0.879019,0.015320,1.000000,4.800000,0.950000,-1.416980,-1.416980,-1.275282,-0.007560,0.000000,0.013303,0.000000,0.013303,0,61
0.333723,-0.605880,1.177836,-1.505188,0.050000,0.013303,0.871259,0.879501,0.015808,1.000000,4.800000,0.950000,-1.505188,-1.505188,-1.482197,-0.007566,0.000000,0.014302,0.000000,0.013303,0,61
0.389301,-0.605924,1.177912,-1.423053,0.050000,0.013909,0.871259,0.879052,0.015364,1.000000,4.800000,0.950000,-1.423053,-1.423053,-1.428968,-0.007570,0.000000,0.014051,0.000000,0.013909,0,61
0.444927,-0.605907,1.177869,-1.463086,0.050000,0.014119,0.871259,0.879271,0.015684,1.000000,4.800000,0.950000,-1.463086,-1.463086,-1.459674,-0.007672,0.000000,0.014295,0.000000,0.014119,0,61
0.500305,-0.605913,1.177921,-1.425993,0.050000,0.014268,0.871259,0.879069,0.015733,1.000000,4.800000,0.950000,-1.425993,-1.425993,-1.429361,-0.007923,0.000000,0.014388,0.000000,0.014268,0,61
0.556032,-0.605951,1.178062,-1.305421,0.050000,0.014371,0.871259,0.878412,0.015038,1.000000,4.800000,0.950000,-1.305421,-1.305421,-1.317815,-0.007885,0.000000,0.013816,0.000000,0.014371,0,61
0.611722,-0.606306,1.177718,-1.255403,0.050000,0.014055,0.871259,0.878119,0.013890,1.000000,4.800000,0.950000,-1.255403,-1.255403,-1.261644,-0.007029,0.000000,0.012734,0.000000,0.014055,0,61
0.666991,-0.604612,1.179209,-1.592078,0.050000,0.013193,0.871259,0.879923,0.014999,1.000000,4.800000,0.950000,-1.592078,-1.592078,-1.559034,-0.006336,0.000000,0.013502,0.000000,0.013193,1,62
0.722592,-0.601456,1.182248,-2.049872,0.050000,0.013201,0.871259,0.882497,0.018193,1.000000,4.800000,0.950000,-2.049872,-2.049872,-2.000788,-0.006955,0.000000,0.016211,0.000000,0.013201,2,63
0.778110,-0.598389,1.185510,-2.295856,0.050000,0.015024,0.871259,0.883741,0.021641,1.000000,4.800000,0.950000,-2.295856,-2.295856,-2.266349,-0.009159,0.000000,0.019580,0.000000,0.015024,4,65
0.833676,-0.596424,1.188060,-2.157833,0.050000,0.018152,0.871259,0.883004,0.019239,1.000000,4.800000,0.950000,-2.157833,-2.157833,-2.168685,-0.007494,0.000000,0.017529,0.000000,0.018152,5,66
0.889118,-0.594188,1.190917,-2.029002,0.050000,0.018415,0.871259,0.882341,0.016033,1.000000,4.800000,0.950000,-2.029002,-2.029002,-2.042970,-0.004951,0.000000,0.014510,0.000000,0.018415,6,67
0.944905,-0.592013,1.193525,-2.013706,0.050000,0.016102,0.871259,0.882281,0.014464,1.000000,4.800000,0.950000,-2.013706,-2.013706,-2.016632,-0.003442,0.000000,0.012950,0.000000,0.016102,7,68
1.000375,-0.590137,1.195438,-2.217257,0.050000,0.013720,0.871259,0.883373,0.014869,1.000000,4.800000,0.950000,-2.217257,-2.217257,-2.197195,-0.002754,0.000000,0.013163,0.000000,0.013720,8,69
1.055972,-0.588227,1.197526,-2.334855,0.050000,0.012894,0.871259,0.884004,0.014997,1.000000,4.800000,0.950000,-2.334855,-2.334855,-2.321089,-0.002252,0.000000,0.013281,0.000000,0.012894,9,70
1.111565,-0.586609,1.199447,-2.335960,0.050000,0.012959,0.871259,0.883976,0.013950,1.000000,4.800000,0.950000,-2.335960,-2.335960,-2.334473,-0.001233,0.000000,0.012377,0.000000,0.012959,10,71
1.167039,-0.585259,1.201138,-2.280149,0.050000,0.012620,0.871259,0.883820,0.012758,1.000000,4.800000,0.950000,-2.280149,-2.280149,-2.285582,-0.000196,0.000000,0.011157,0.000000,0.012620,10,71
1.222473,-0.583671,1.202916,-2.350499,0.050000,0.011669,0.871259,0.884164,0.011719,1.000000,4.800000,0.950000,-2.350499,-2.350499,-2.344007,0.001186,0.000000,0.010125,0.000000,0.011669,11,72
1.278117,-0.581854,1.204951,-2.430183,0.050000,0.010539,0.871259,0.884581,0.010004,1.000000,4.800000,0.950000,-2.430183,-2.430183,-2.421565,0.003318,0.000000,0.008471,0.000000,0.010539,12,73
1.333613,-0.579961,1.206956,-2.587600,0.050000,0.009057,0.871259,0.885425,0.008955,1.000000,4.800000,0.950000,-2.587600,-2.587600,-2.570997,0.005211,0.000000,0.007390,0.000000,0.009057,13,74
1.389095,-0.577825,1.209733,-2.434468,0.050000,0.007747,0.871259,0.884623,0.008257,1.000000,4.800000,0.950000,-2.434468,-2.434468,-2.448121,0.005108,0.000000,0.006899,0.000000,0.007747,14,75
1.444762,-0.575670,1.212260,-2.455465,0.050000,0.006964,0.871259,0.884762,0.008693,1.000000,4.800000,0.950000,-2.455465,-2.455465,-2.454730,0.004810,0.000000,0.007213,0.000000,0.006964,15,76
1.500453,-0.573779,1.214809,-2.261956,0.050000,0.006955,0.871259,0.883710,0.007691,1.000000,4.800000,0.950000,-2.261956,-2.261956,-2.281234,0.004760,0.000000,0.006428,0.000000,0.006955,16,77
1.555782,-0.571938,1.216601,-2.516230,0.050000,0.006635,0.871259,0.885075,0.008378,1.000000,4.800000,0.950000,-2.516230,-2.516230,-2.492731,0.005438,0.000000,0.006799,0.000000,0.006635,17,78
1.611556,-0.570007,1.218899,-2.513793,0.050000,0.006668,0.871259,0.885062,0.006919,1.000000,4.800000,0.950000,-2.513793,-2.513793,-2.511687,0.006884,0.000000,0.005516,0.000000,0.006668,18,79
1.666897,-0.568326,1.220728,-2.623223,0.050000,0.005978,0.871259,0.885622,0.006201,1.000000,4.800000,0.950000,-2.623223,-2.623223,-2.612070,0.008162,0.000000,0.004784,0.000000,0.005978,19,80
1.722609,-0.566984,1.222405,-2.570385,0.050000,0.005114,0.871259,0.885267,0.004983,1.000000,4.800000,0.950000,-2.570385,-2.570385,-2.574553,0.009025,0.000000,0.003784,0.000000,0.005114,20,81
1.778171,-0.565430,1.223697,-2.927301,0.050000,0.004131,0.871259,0.887387,0.006456,1.000000,4.800000,0.950000,-2.927301,-2.927301,-2.892026,0.009672,0.000000,0.004693,0.000000,0.004131,21,81
1.833711,-0.563945,1.225462,-2.926809,0.050000,0.004269,0.871259,0.887323,0.006010,1.000000,4.800000,0.950000,-2.926809,-2.926809,-2.923330,0.010054,0.000000,0.004481,0.000000,0.004269,21,82
1.889164,-0.562700,1.227481,-2.580071,0.050000,0.004425,0.871259,0.885370,0.004157,1.000000,4.800000,0.950000,-2.580071,-2.580071,-2.614397,0.009954,0.000000,0.003093,0.000000,0.004425,22,83
1.944824,-0.560736,1.230556,-2.102918,0.050000,0.003652,0.871259,0.882799,0.002127,1.000000,4.800000,0.950000,-2.102918,-2.102918,-2.154066,0.009413,0.000000,0.001397,0.000000,0.003652,23,84
2.000269,-0.558232,1.233425,-2.171039,0.050000,0.002130,0.871259,0.883031,0.003069,1.000000,4.800000,0.950000,-2.171039,-2.171039,-2.169342,0.008703,0.000000,0.002145,0.000000,0.002130,25,86
2.055892,-0.555914,1.235864,-2.374255,0.050000,0.001826,0.871259,0.884158,0.004826,1.000000,4.800000,0.950000,-2.374255,-2.374255,-2.353764,0.008073,0.000000,0.003628,0.000000,0.001826,26,87
2.111493,-0.554328,1.237496,-2.537339,0.050000,0.002856,0.871259,0.885216,0.006228,1.000000,4.800000,0.950000,-2.537339,-2.537339,-2.518981,0.007729,0.000000,0.004749,0.000000,0.002856,26,87
