t_s,x,y,cross_track_mm,linear_speed_mps,angular_cmd_rps,path_yaw,target_yaw,yaw_error_rad,lqr_mode,k1,k2,e_y_raw_mm,e_y_rate_limited_mm,e_y_filtered_mm,e_theta_rad,omega_ff,omega_fb,omega_i,omega_before_limits,nearest_idx,lookahead_idx
0.277978,0.388991,1.971790,-3.425857,0.050000,0.007185,2.442055,2.460823,0.012425,1.000000,4.800000,0.950000,-3.425857,-3.057761,-2.751985,0.006342,0.000000,0.007185,0.000000,0.007185,1,62
0.333684,0.389009,1.971793,-3.439766,0.050000,0.007185,2.442055,2.460897,0.012498,1.000000,4.800000,0.950000,-3.439766,-3.439766,-3.370988,0.006344,0.000000,0.010154,0.000000,0.007185,1,62
0.389169,0.388985,1.971700,-3.353726,0.050000,0.008984,2.442055,2.460422,0.012017,1.000000,4.800000,0.950000,-3.353726,-3.353726,-3.355452,0.006350,0.000000,0.010074,0.000000,0.008984,1,62
0.444839,0.388995,1.971753,-3.400644,0.050000,0.010014,2.442055,2.460682,0.012266,1.000000,4.800000,0.950000,-3.400644,-3.400644,-3.396125,0.006360,0.000000,0.010259,0.000000,0.010014,1,62
0.500304,0.388989,1.971748,-3.392837,0.050000,0.010372,2.442055,2.460639,0.011702,1.000000,4.800000,0.950000,-3.392837,-3.392837,-3.393166,0.006882,0.000000,0.009749,0.000000,0.010372,1,62
0.555969,0.389006,1.971762,-3.414420,0.050000,0.010069,2.442055,2.460757,0.010127,1.000000,4.800000,0.950000,-3.414420,-3.414420,-3.412295,0.008574,0.000000,0.008233,0.000000,0.010069,1,62
0.611498,0.389504,1.971248,-3.341634,0.050000,0.008895,2.442055,2.460287,0.006161,1.000000,4.800000,0.950000,-3.341634,-3.341634,-3.348700,0.012071,0.000000,0.004606,0.000000,0.008895,1,62
0.666872,0.387059,1.973287,-3.327474,0.050000,0.006070,2.442055,2.460228,0.001838,1.000000,4.800000,0.950000,-3.327474,-3.327474,-3.329596,0.016335,0.000000,0.000464,0.000000,0.006070,2,63
0.722516,0.382704,1.977006,-3.369190,0.050000,0.002101,2.442055,2.460429,-0.000622,1.000000,4.800000,0.950000,-3.369190,-3.369190,-3.365231,0.018996,0.000000,-0.001893,0.000000,0.002101,4,65
0.778115,0.377908,1.980617,-3.044038,0.050000,-0.001132,2.442055,2.458655,-0.002704,1.000000,4.800000,0.950000,-3.044038,-3.044038,-3.076157,0.019304,0.000000,-0.003574,0.000000,-0.001132,6,67
0.833734,0.376061,1.981776,-2.742229,0.050000,-0.003274,2.442055,2.456941,-0.005212,1.000000,4.800000,0.950000,-2.742229,-2.742229,-2.775622,0.020098,0.000000,-0.005771,0.000000,-0.003274,7,68
0.889311,0.374751,1.983012,-2.844508,0.050000,-0.005225,2.442055,2.457649,-0.006787,1.000000,4.800000,0.950000,-2.844508,-2.844508,-2.837620,0.022380,0.000000,-0.007641,0.000000,-0.005225,7,68
0.944723,0.373709,1.984387,-3.224965,0.050000,-0.007082,2.442055,2.459607,-0.006550,1.000000,4.800000,0.950000,-3.224965,-3.224965,-3.186231,0.024102,0.000000,-0.007603,0.000000,-0.007082,8,69
1.000242,0.371738,1.985919,-3.128422,0.050000,-0.007778,2.442055,2.459035,-0.007066,1.000000,4.800000,0.950000,-3.128422,-3.128422,-3.134203,0.024046,0.000000,-0.007799,0.000000,-0.007778,9,70
1.055857,0.369742,1.987558,-3.097587,0.050000,-0.007934,2.442055,2.459107,-0.003366,1.000000,4.800000,0.950000,-3.097587,-3.097587,-3.101249,0.020417,0.000000,-0.004510,0.000000,-0.007934,9,70
1.111440,0.366889,1.989811,-2.984280,0.050000,-0.005892,2.442055,2.458272,-0.002047,1.000000,4.800000,0.950000,-2.984280,-2.984280,-2.995977,0.018263,0.000000,-0.002970,0.000000,-0.005892,11,72
1.167060,0.363741,1.992033,-2.657632,0.050000,-0.003702,2.442055,2.456563,-0.002624,1.000000,4.800000,0.950000,-2.657632,-2.657632,-2.691467,0.017132,0.000000,-0.003356,0.000000,-0.003702,12,73
1.222796,0.360837,1.994036,-2.319994,0.050000,-0.003043,2.442055,2.454756,-0.004908,1.000000,4.800000,0.950000,-2.319994,-2.319994,-2.357141,0.017608,0.000000,-0.005414,0.000000,-0.003043,13,74
1.278190,0.358776,1.995732,-2.290785,0.050000,-0.004344,2.442055,2.454573,-0.005286,1.000000,4.800000,0.950000,-2.290785,-2.290785,-2.297420,0.017804,0.000000,-0.005886,0.000000,-0.004344,14,75
1.333764,0.356474,1.997621,-2.253940,0.050000,-0.005543,2.442055,2.454370,-0.006274,1.000000,4.800000,0.950000,-2.253940,-2.253940,-2.258288,0.018589,0.000000,-0.006820,0.000000,-0.005543,15,76
1.389236,0.354296,1.999255,-2.101505,0.050000,-0.006559,2.442055,2.453520,-0.007005,1.000000,4.800000,0.950000,-2.101505,-2.101505,-2.117184,0.018470,0.000000,-0.007384,0.000000,-0.006559,16,77
1.444840,0.352180,2.000778,-1.904561,0.050000,-0.007267,2.442055,2.452423,-0.007429,1.000000,4.800000,0.950000,-1.904561,-1.904561,-1.925824,0.017797,0.000000,-0.007663,0.000000,-0.007267,17,78
1.500328,0.350148,2.002212,-1.693643,0.050000,-0.007652,2.442055,2.451249,-0.006134,1.000000,4.800000,0.950000,-1.693643,-1.693643,-1.716861,0.015327,0.000000,-0.006320,0.000000,-0.007652,18,79
1.555829,0.346818,2.004310,-1.154885,0.050000,-0.006927,2.442055,2.448355,-0.008933,1.000000,4.800000,0.950000,-1.154885,-1.154885,-1.211083,0.015233,0.000000,-0.008658,0.000000,-0.006927,19,80
