t_s,x,y,cross_track_mm,linear_speed_mps,angular_cmd_rps,path_yaw,target_yaw,yaw_error_rad,lqr_mode,k1,k2,e_y_raw_mm,e_y_rate_limited_mm,e_y_filtered_mm,e_theta_rad,omega_ff,omega_fb,omega_i,omega_before_limits,nearest_idx,lookahead_idx
0.278152,-0.398520,2.962830,0.871728,0.050000,-0.009370,-2.270334,-2.275106,-0.010672,1.000000,4.800000,0.950000,0.871728,0.871728,0.784555,0.005899,0.000000,-0.009370,0.000000,-0.009370,0,61
0.333775,-0.398524,2.962829,0.869523,0.050000,-0.009370,-2.270334,-2.275094,-0.010660,1.000000,4.800000,0.950000,0.869523,0.869523,0.861026,0.005899,0.000000,-0.009737,0.000000,-0.009370,0,61
0.389306,-0.398525,2.962830,0.868198,0.050000,-0.009592,-2.270334,-2.275087,-0.010651,1.000000,4.800000,0.950000,0.868198,0.868198,0.867480,0.005898,0.000000,-0.009767,0.000000,-0.009592,0,61
0.444828,-0.398525,2.962830,0.868516,0.050000,-0.009743,-2.270334,-2.275089,-0.010651,1.000000,4.800000,0.950000,0.868516,0.868516,0.868412,0.005897,0.000000,-0.009770,0.000000,-0.009743,0,61
0.500401,-0.398527,2.962830,0.867043,0.050000,-0.009790,-2.270334,-2.275081,-0.010612,1.000000,4.800000,0.950000,0.867043,0.867043,0.867180,0.005866,0.000000,-0.009735,0.000000,-0.009790,0,61
0.555986,-0.398514,2.962946,0.802199,0.050000,-0.009766,-2.270334,-2.274723,-0.010394,1.000000,4.800000,0.950000,0.802199,0.802199,0.808697,0.006005,0.000000,-0.009586,0.000000,-0.009766,0,61
0.611423,-0.398471,2.962529,1.103532,0.050000,-0.009653,-2.270334,-2.276382,-0.016290,1.000000,4.800000,0.950000,1.103532,1.103532,1.074048,0.010242,0.000000,-0.014885,0.000000,-0.009653,0,61
0.667094,-0.398370,2.961673,1.732072,0.050000,-0.012794,-2.270334,-2.279857,-0.023079,1.000000,4.800000,0.950000,1.732072,1.732072,1.666269,0.013556,0.000000,-0.020877,0.000000,-0.012794,0,61
0.722484,-0.401302,2.961859,-0.631502,0.050000,-0.018319,-2.270334,-2.266885,-0.011385,1.000000,4.800000,0.950000,-0.631502,-0.267928,-0.074509,0.014833,0.000000,-0.013734,0.000000,-0.018319,1,62
0.778008,-0.405583,2.958482,-1.732691,0.050000,-0.016693,-2.270334,-2.260906,-0.004359,1.000000,4.800000,0.950000,-1.732691,-1.732691,-1.566872,0.013787,0.000000,-0.005576,0.000000,-0.016693,3,64
0.833559,-0.409223,2.953832,-1.523749,0.050000,-0.009639,-2.270334,-2.262047,-0.004875,1.000000,4.800000,0.950000,-1.523749,-1.523749,-1.528061,0.013162,0.000000,-0.005169,0.000000,-0.009639,5,66
0.889264,-0.410275,2.949306,0.585803,0.050000,-0.005478,-2.270334,-2.273539,-0.017148,1.000000,4.800000,0.950000,0.585803,0.476251,0.275820,0.013943,0.000000,-0.014569,0.000000,-0.005478,6,67
0.944888,-0.411696,2.948024,0.324127,0.050000,-0.010150,-2.270334,-2.272097,-0.016394,1.000000,4.800000,0.950000,0.324127,0.324127,0.319297,0.014631,0.000000,-0.015432,0.000000,-0.010150,7,68
1.000187,-0.413022,2.945538,0.910008,0.050000,-0.014285,-2.270334,-2.275277,-0.016879,1.000000,4.800000,0.950000,0.910008,0.910008,0.850937,0.011936,0.000000,-0.015424,0.000000,-0.014285,8,69
1.055952,-0.415568,2.943794,0.084336,0.050000,-0.015832,-2.270334,-2.270792,-0.011146,1.000000,4.800000,0.950000,0.084336,0.084336,0.160996,0.010688,0.000000,-0.010926,0.000000,-0.015832,9,70
1.111422,-0.418152,2.941060,-0.132357,0.050000,-0.013172,-2.270334,-2.269612,-0.008928,1.000000,4.800000,0.950000,-0.132357,-0.132357,-0.103021,0.009650,0.000000,-0.008673,0.000000,-0.013172,10,71
1.167025,-0.420303,2.937995,0.194594,0.050000,-0.009905,-2.270334,-2.271399,-0.009080,1.000000,4.800000,0.950000,0.194594,0.194594,0.164833,0.008014,0.000000,-0.008405,0.000000,-0.009905,11,72
1.222655,-0.421841,2.935288,0.761154,0.050000,-0.008326,-2.270334,-2.274503,-0.010470,1.000000,4.800000,0.950000,0.761154,0.761154,0.701522,0.006301,0.000000,-0.009353,0.000000,-0.008326,12,73
1.278145,-0.423878,2.934519,-0.302184,0.050000,-0.008625,-2.270334,-2.268688,-0.003437,1.000000,4.800000,0.950000,-0.302184,-0.302184,-0.201813,0.005082,0.000000,-0.003859,0.000000,-0.008625,13,74
1.333646,-0.425198,2.932971,-0.315228,0.050000,-0.005810,-2.270334,-2.268598,-0.002305,1.000000,4.800000,0.950000,-0.315228,-0.315228,-0.303887,0.004041,0.000000,-0.002380,0.000000,-0.005810,13,74
1.389191,-0.426583,2.930502,0.214524,0.050000,-0.003159,-2.270334,-2.271513,-0.004517,1.000000,4.800000,0.950000,0.214524,0.214524,0.162683,0.003338,0.000000,-0.003952,0.000000,-0.003159,14,75
1.444743,-0.428353,2.927598,0.730047,0.050000,-0.003095,-2.270334,-2.274291,-0.007098,1.000000,4.800000,0.950000,0.730047,0.730047,0.673311,0.003141,0.000000,-0.006216,0.000000,-0.003095,16,77
1.500351,-0.430408,2.925725,0.363444,0.050000,-0.004972,-2.270334,-2.272334,-0.005210,1.000000,4.800000,0.950000,0.363444,0.363444,0.394431,0.003210,0.000000,-0.004943,0.000000,-0.004972,16,77
1.555884,-0.431969,2.924787,-0.226477,0.050000,-0.005338,-2.270334,-2.269096,-0.002043,1.000000,4.800000,0.950000,-0.226477,-0.226477,-0.164386,0.003280,0.000000,-0.002327,0.000000,-0.005338,17,78
1.611462,-0.433471,2.923208,-0.359347,0.050000,-0.003592,-2.270334,-2.268379,0.001109,1.000000,4.800000,0.950000,-0.359347,-0.359347,-0.339851,0.000846,0.000000,0.000828,0.000000,-0.003592,18,79
1.667010,-0.435792,2.920968,-0.692770,0.050000,-0.000560,-2.270334,-2.266561,0.004344,1.000000,4.800000,0.950000,-0.692770,-0.692770,-0.657478,-0.000572,0.000000,0.003699,0.000000,-0.000560,19,80
1.722552,-0.438401,2.917328,-0.345479,0.050000,0.002637,-2.270334,-2.268437,0.002562,1.000000,4.800000,0.950000,-0.345479,-0.345479,-0.376679,-0.000665,0.000000,0.002440,0.000000,0.002637,20,81
1.778072,-0.440832,2.915151,-0.803811,0.050000,0.003173,-2.270334,-2.265916,0.005022,1.000000,4.800000,0.950000,-0.803811,-0.803811,-0.761097,-0.000604,0.000000,0.004227,0.000000,0.003173,21,82
1.833679,-0.442423,2.913585,-1.013046,0.050000,0.003921,-2.270334,-2.264789,0.006451,1.000000,4.800000,0.950000,-1.013046,-1.013046,-0.987851,-0.000907,0.000000,0.005603,0.000000,0.003921,22,83
1.889126,-0.444357,2.911801,-1.343539,0.050000,0.005090,-2.270334,-2.262996,0.008435,1.000000,4.800000,0.950000,-1.343539,-1.343539,-1.307971,-0.001098,0.000000,0.007321,0.000000,0.005090,23,84
1.944776,-0.446219,2.909290,-1.151533,0.050000,0.006681,-2.270334,-2.264041,0.007519,1.000000,4.800000,0.950000,-1.151533,-1.151533,-1.167177,-0.001226,0.000000,0.006767,0.000000,0.006681,24,85
2.000217,-0.447396,2.907206,-0.710897,0.050000,0.007057,-2.270334,-2.266462,0.005061,1.000000,4.800000,0.950000,-0.710897,-0.710897,-0.756525,-0.001189,0.000000,0.004761,0.000000,0.007057,25,86
2.055795,-0.448586,2.905522,-0.536782,0.050000,0.005748,-2.270334,-2.267377,0.003868,1.000000,4.800000,0.950000,-0.536782,-0.536782,-0.558756,-0.000912,0.000000,0.003548,0.000000,0.005748,25,86
2.111333,-0.450862,2.902704,-0.464451,0.050000,0.004149,-2.270334,-2.267809,0.003360,1.000000,4.800000,0.950000,-0.464451,-0.464451,-0.473881,-0.000836,0.000000,0.003068,0.000000,0.004149,27,88
2.167017,-0.453714,2.899905,-0.844428,0.050000,0.003165,-2.270334,-2.265719,0.005659,1.000000,4.800000,0.950000,-0.844428,-0.844428,-0.807373,-0.001044,0.000000,0.004867,0.000000,0.003165,28,89
2.222580,-0.455788,2.897533,-0.903632,0.050000,0.003997,-2.270334,-2.265391,0.006223,1.000000,4.800000,0.950000,-0.903632,-0.903632,-0.894006,-0.001281,0.000000,0.005508,0.000000,0.003997,29,90
2.278084,-0.457323,2.895748,-0.928947,0.050000,0.005080,-2.270334,-2.265271,0.006373,1.000000,4.800000,0.950000,-0.928947,-0.928947,-0.925453,-0.001310,0.000000,0.005686,0.000000,0.005080,30,91
2.333658,-0.459045,2.893782,-0.980480,0.050000,0.005669,-2.270334,-2.265001,0.006331,1.000000,4.800000,0.950000,-0.980480,-0.980480,-0.974977,-0.000998,0.000000,0.005628,0.000000,0.005669,31,92
2.389252,-0.460887,2.891844,-1.142299,0.050000,0.005765,-2.270334,-2.264132,0.006609,1.000000,4.800000,0.950000,-1.142299,-1.142299,-1.125567,-0.000408,0.000000,0.005790,0.000000,0.005765,32,93
2.444805,-0.462708,2.889672,-1.136836,0.050000,0.005800,-2.270334,-2.264167,0.006049,1.000000,4.800000,0.950000,-1.136836,-1.136836,-1.135710,0.000117,0.000000,0.005340,0.000000,0.005800,33,94
2.500316,-0.464574,2.888125,-1.569055,0.050000,0.005529,-2.270334,-2.261711,0.008467,1.000000,4.800000,0.950000,-1.569055,-1.569055,-1.525721,0.000155,0.000000,0.007176,0.000000,0.005529,33,94
2.555876,-0.466232,2.886952,-2.082613,0.050000,0.006469,-2.270334,-2.258954,0.011461,1.000000,4.800000,0.950000,-2.082613,-2.082613,-2.026924,-0.000081,0.000000,0.009806,0.000000,0.006469,34,95
2.611359,-0.468339,2.885209,-2.571704,0.050000,0.008678,-2.270334,-2.256306,0.014131,1.000000,4.800000,0.950000,-2.571704,-2.571704,-2.517226,-0.000103,0.000000,0.012181,0.000000,0.008678,35,96
2.667020,-0.470322,2.882760,-2.512553,0.050000,0.011253,-2.270334,-2.256617,0.013754,1.000000,4.800000,0.950000,-2.512553,-2.512553,-2.513021,-0.000037,0.000000,0.012098,0.000000,0.011253,36,97
2.722448,-0.472440,2.880444,-2.642138,0.050000,0.012288,-2.270334,-2.255899,0.014021,1.000000,4.800000,0.950000,-2.642138,-2.642138,-2.629226,0.000414,0.000000,0.012227,0.000000,0.012288,37,98
2.778087,-0.474083,2.878415,-2.592778,0.050000,0.012465,-2.270334,-2.256199,0.012714,1.000000,4.800000,0.950000,-2.592778,-2.592778,-2.596423,0.001421,0.000000,0.011113,0.000000,0.012465,38,99
2.833575,-0.475944,2.876351,-2.687690,0.050000,0.011683,-2.270334,-2.255699,0.012279,1.000000,4.800000,0.950000,-2.687690,-2.687690,-2.678564,0.002355,0.000000,0.010620,0.000000,0.011683,39,100
2.889257,-0.477395,2.873972,-2.265717,0.050000,0.010878,-2.270334,-2.258013,0.009437,1.000000,4.800000,0.950000,-2.265717,-2.265717,-2.307002,0.002884,0.000000,0.008334,0.000000,0.010878,40,101
2.944677,-0.478853,2.871256,-1.632506,0.050000,0.009175,-2.270334,-2.261455,0.005600,1.000000,4.800000,0.950000,-1.632506,-1.632506,-1.699955,0.003278,0.000000,0.005046,0.000000,0.009175,41,102
3.000185,-0.480409,2.869553,-1.726888,0.050000,0.006335,-2.270334,-2.260823,0.005176,1.000000,4.800000,0.950000,-1.726888,-1.726888,-1.724195,0.004335,0.000000,0.004158,0.000000,0.006335,41,102
3.055911,-0.483025,2.867609,-2.477439,0.050000,0.004430,-2.270334,-2.256899,0.008197,1.000000,4.800000,0.950000,-2.477439,-2.477439,-2.402114,0.005237,0.000000,0.006555,0.000000,0.004430,43,104
3.111438,-0.485734,2.865203,-3.000283,0.050000,0.005331,-2.270334,-2.254012,0.010103,1.000000,4.800000,0.950000,-3.000283,-3.000283,-2.940466,0.006219,0.000000,0.008206,0.000000,0.005331,44,105
3.166966,-0.487426,2.862921,-2.825766,0.050000,0.007253,-2.270334,-2.254975,0.008280,1.000000,4.800000,0.950000,-2.825766,-2.825766,-2.837236,0.007079,0.000000,0.006894,0.000000,0.007253,45,106
3.222421,-0.488538,2.860839,-2.336512,0.050000,0.007430,-2.270334,-2.257473,0.005397,1.000000,4.800000,0.950000,-2.336512,-2.336512,-2.386584,0.007464,0.000000,0.004365,0.000000,0.007430,45,106
3.278077,-0.490080,2.857959,-1.661438,0.050000,0.005612,-2.270334,-2.261327,0.001621,1.000000,4.800000,0.950000,-1.661438,-1.661438,-1.733952,0.007385,0.000000,0.001307,0.000000,0.005612,47,108
