batch_id,path_slot,timestamp,samples,path_length_m,p50_mm,p90_mm,p95_mm,max_mm,mean_mm,target_p90_mm,pass_p90_lt_5mm,lookahead_m,lookahead_time_s,pos_sg_window,k1_direct,k2_direct,follow_max_w,follow_max_accel,ey_alpha,ey_rate_factor,integral_enabled,walk_max,work_max
1772302648399,1,10008,239,2.262214,1.091022,3.253303,3.520383,5.082308,1.485809,5.000000,1,0.180000,0.030000,5,4.800000,0.950000,0.028000,1.600000,0.900000,0.220000,0,0.250000,0.250000
1772302648399,2,10035,203,1.848000,2.180702,3.544391,3.953650,21.404273,2.402885,5.000000,1,0.180000,0.030000,5,4.800000,0.950000,0.028000,1.600000,0.900000,0.220000,0,0.250000,0.250000
1772302648399,3,10067,288,2.262214,1.716592,4.682759,5.241552,6.067629,2.109493,5.000000,1,0.180000,0.030000,5,4.800000,0.950000,0.028000,1.600000,0.900000,0.220000,0,0.250000,0.250000
1772302648399,4,10102,353,1.848000,2.444354,4.293149,6.230461,10.801991,2.769341,5.000000,1,0.180000,0.030000,5,4.800000,0.950000,0.028000,1.600000,0.900000,0.220000,0,0.250000,0.250000
1772302648399,5,10134,202,1.848000,3.432811,5.472011,6.804659,8.227579,3.399514,5.000000,0,0.180000,0.030000,5,4.800000,0.950000,0.028000,1.600000,0.900000,0.220000,0,0.250000,0.250000
1772302648399,6,10160,202,1.848000,2.562793,4.964722,6.220183,14.828554,2.828687,5.000000,1,0.180000,0.030000,5,4.800000,0.950000,0.028000,1.600000,0.900000,0.220000,0,0.250000,0.250000
